compounds,targets
D07UYV,T59328
D0ZH1U,T59328
D0Q7HO,T59328
D0DF3Z,T59328
D0I7RA,T59328
D0P2GE,T59328
D0S9QP,T59328
D0Y2AM,T59328
D0G4HR,T59328
D01NTW,T59328
D0Q3GG,T59328
D0W1BE,T59328
D0K2YY,T59328
D0KN1L,T59328
D0L3SN,T59328
D0ZT9D,T59328
D02KVB,T59328
D0O9UR,T59328
D05FFT,T59328
D03ATU,T59328
D0B4PH,T59328
D0G9KD,T59328
D02ZRO,T59328
D0HM5W,T59328
D0K7GD,T59328
D00TJF,T59328
D0J5SK,T59328
D0J9WO,T59328
D0X4UE,T59328
D0EP1G,T59328
D04OLK,T59328
D0W2PQ,T59328
D03WEN,T59328
D00TZD,T59328
D01VFR,T59328
D0F6FZ,T59328
D01WYI,T59328
D0HO1S,T59328
D0EH6L,T59328
D03QTP,T59328
D0A0JL,T59328
D00VZA,T59328
D0NH7M,T59328
D05ARF,T59328
D0U6WB,T59328
D01WDI,T59328
D0Q9CY,T14597
D0Q9CY,T59328
D0Q9CY,T80975
D03HLH,T59328
D03HLH,T59102
D05QMN,T59328
D05QMN,T59102
D05NEC,T53389
DNI28K,T53389
D06CMG,T53389
D06BGZ,T53389
D06KKN,T53389
D0F2MP,T53389
D06BDC,T53389
D03ANS,T53389
DQ5Y6Z,T53389
D0MR0B,T53389
D0C7WP,T53389
D0H6ZP,T53389
D0K6YK,T53389
D0V3OJ,T53389
D0V8AC,T53389
D07ZMW,T53389
D05BMP,T53389
D0XL7C,T53389
D0XB4P,T53389
D0H5CE,T53389
D06TFI,T53389
D06TFI,T97257
D0Q5UH,T53389
D0YB3W,T14597
D0YB3W,T59328
D0YB3W,T67619
D0C3WY,T12355
D0C3WY,T85799
D0C3WY,T89361
D0C3WY,T59328
D0C3WY,T80975
D00NYT,T12355
D00NYT,T85799
D00NYT,T89361
D00NYT,T59328
D00NYT,T80975
D0EK0G,T12355
D0EK0G,T85799
D0EK0G,T89361
D0EK0G,T59328
D0EK0G,T80975
D06AOY,T12355
D06AOY,T85799
D06AOY,T59328
D0W6CE,T85799
D0W6CE,T59328
D02WCI,T97257
D0BM7M,T14597
D0B1SW,T14597
D0U3YB,T14597
D0M8AI,T14597
D0F8UV,T14597
D0NX2G,T14597
D02YAQ,T14597
D02ARA,T14597
D02UFQ,T14597
D0O5CR,T14597
D04SLF,T14597
D0CN9Q,T14597
D09GRX,T14597
D0C4RB,T31309
D0C4RB,T68536
D09TXG,T68536
D0J4MY,T68536
D0KX9Z,T68536
D0S6FK,T68536
D07UWD,T68536
D03CYV,T68536
D0C6EW,T68536
D04EPS,T68536
D07JAI,T68536
D03TJN,T68536
D0X1BJ,T68536
D0VH8A,T68536
D08OVG,T68536
D01RRF,T68536
D03XCR,T68536
D0J1MI,T68536
D00KVO,T68536
D05KNG,T68536
D04RLY,T68536
D09QVV,T68536
D0K5CJ,T68536
D06QRY,T68536
D0N4OZ,T68536
D01AZP,T68536
D09BOH,T68536
D0XA1B,T68536
D03RMN,T68536
D09EQZ,T68536
D0W5RQ,T68536
D03NTD,T68536
D02XKD,T68536
D0LH3S,T68536
D0OW6Q,T68536
D0X9OV,T68536
D07QFU,T68536
D04AMD,T68536
D0ZE1O,T68536
D09EHO,T68536
D08NAD,T68536
D04TLJ,T43189
D04NXL,T43189
D09ZSA,T43189
D09PKU,T43189
D01HTL,T43189
D04EON,T68536
D04EON,T43189
D0PF3J,T68536
D0PF3J,T43189
D0Z3KA,T68536
D0Z3KA,T43189
D0B1CM,T68536
D0B1CM,T43189
D04XJT,T68536
D04XJT,T43189
D07XJB,T68536
D07XJB,T43189
D0B6OH,T68536
D0B6OH,T43189
D0VI1H,T68536
D0VI1H,T43189
D00CPM,T68536
D00CPM,T43189
D0Y8UP,T68536
D0Y8UP,T43189
D08CQQ,T68536
D08CQQ,T43189
D0M4ZQ,T68536
D0M4ZQ,T43189
D08BLV,T68536
D08BLV,T43189
D00BEM,T68536
D00BEM,T43189
D09HKD,T68536
D09HKD,T43189
D00GCN,T68536
D00GCN,T43189
D0K5CK,T68536
D0K5CK,T43189
D0K4TV,T68536
D0K4TV,T43189
D0U7EG,T68536
D0U7EG,T43189
D09IEG,T68536
D09IEG,T43189
D0PT2D,T68536
D0PT2D,T43189
D0QP5D,T68536
D0QP5D,T43189
D05MPS,T68536
D05MPS,T43189
D01HBE,T68536
D01HBE,T43189
D05HFW,T68536
D05HFW,T43189
D06JNW,T68536
D06JNW,T43189
D0K1MS,T68536
D0K1MS,T43189
D02BXC,T68536
D02BXC,T43189
D09FZI,T43189
D0GO7W,T43189
D05HBZ,T43189
D0Z9TO,T43189
D0O5SC,T43189
D0KK2E,T43189
D0J8WE,T43189
D0LI3C,T43189
D0J0RV,T43189
D0JI8B,T43189
D07LAP,T43189
D0O5WP,T43189
D0DI8J,T43189
D00AYA,T43189
D02HSB,T43189
D09DHY,T43189
D0X5LG,T43189
D0CV7Z,T43189
D0FD2I,T43189
D0W2EK,T43189
D0XT0W,T17687
D0B0AX,T17687
D06SKN,T17687
D0NU0U,T17687
D01ZLU,T17687
D0E8PR,T17687
D0HE0E,T17687
D0NW0T,T17687
D07PQJ,T17687
D0H9FR,T17687
D03LWG,T17687
D06ETI,T31309
D06ETI,T56510
D06ETI,T12355
D02OZK,T31309
D02OZK,T56510
D02JEZ,T12355
D2SJZ9,T56510
D0T3VP,T56510
D0T0KT,T12355
D00PBX,T31309
D00LHS,T31309
D0L8WH,T31309
D2Y7ZG,T31309
D05RJP,T31309
DY4OZ6,T31309
D0V7PX,T31309
D0Z0HH,T31309
D06AQG,T31309
D04RTY,T31309
D0X0CS,T31309
D06DLI,T31309
D0S6IW,T31309
D0D6BH,T31309
D0GH3Q,T68547
D0GH3Q,T08391
D0OD8N,T17980
D07IHM,T17980
D0VF6E,T85943
D0VF6E,T17687
D0V6UC,T85943
D0R1PD,T85943
D0TC1E,T85943
D05GYO,T85943
D00TVY,T85943
D0KS2T,T85943
D0A5IW,T85943
D0LK4J,T85943
D08AWZ,T85943
D06MYD,T85943
D0GN1A,T85943
D0U1BA,T85943
D06CYG,T85943
D0L4NP,T85943
D0RE4L,T85943
D0OB0M,T85943
D0W6WU,T85943
D03NCK,T85943
D02TIO,T85943
D07HBR,T85943
D0MI2W,T85943
D02IYN,T85943
D0B4PI,T85943
D0W7LW,T85943
D0Q2UZ,T85943
D09DVB,T85943
D09WPN,T85943
D01JJR,T85943
D0O8BX,T85943
D01IZN,T85943
D02SRA,T85943
D08YUQ,T85943
D04QEW,T85943
D00JID,T85943
D06QUQ,T85943
D0J1GR,T85943
D03OKV,T85943
D0M0XB,T85943
D0D9PD,T85943
D0OB0F,T85943
D0H8KG,T85943
D0M9QM,T85943
D0MW0N,T85943
D0S3FW,T85943
D0OG1Q,T85943
D0P5ST,T85943
D0BU6T,T85943
D0H3XF,T85943
D03YUW,T85943
D03DEX,T85943
D0U5KF,T85943
D0X7IC,T85943
D04QUI,T85943
D0R2AT,T85943
D0G2CG,T85943
D09WNM,T85943
D07LYJ,T85943
D0P2QG,T85943
D0LP2M,T85943
D01GNF,T85943
D03GQI,T85943
D0N4FS,T85943
D0D1FK,T85943
D0AJ4T,T85943
D0S9LT,T85943
D0U7BY,T85943
D0R7BX,T85943
D07DIM,T85943
D02HOG,T85943
D0D8ZN,T85943
D0U8UH,T85943
D01IDD,T85943
D0D8OY,T85943
D0D3RL,T85943
D0A5MG,T85943
D03XDN,T85943
D0Q7TO,T85943
D07RQB,T85943
D05YQC,T85943
D0J4RY,T85943
D09QKH,T85943
D08WEV,T85943
D09NGN,T85943
D0M5RA,T85943
D02NXM,T67619
D0QD5Y,T08391
D0QD5Y,T85943
D0VI7E,T08391
D0VI7E,T85943
D0MP0X,T08391
D02NNT,T08391
D0OP3D,T08391
D0N8CN,T08391
D06HZA,T62460
D0DK8X,T08391
D05TSJ,T08391
D0G8BM,T08391
D00RYA,T08391
D0PN8H,T08391
D0SG7B,T62460
D05AJT,T08391
D0D5ZJ,T08391
D0YX5U,T62460
D06EIC,T62460
D0IC8O,T08391
D0WD1Z,T08391
D0US9O,T08391
D0US9O,T62460
D07JAG,T62460
D09AFI,T08391
D09AFI,T62460
DU10JI,T08391
DU10JI,T62460
D0Y7IC,T08391
D0Y7IC,T62460
DLW69V,T08391
D02UVS,T08391
D0BI3N,T08391
D0BI3N,T62460
D0A7XQ,T08391
D0GZ7B,T08391
D0I3EY,T08391
D0V4DX,T62460
D08CNP,T08391
D00MYW,T08391
D04LKS,T08391
D04LKS,T62460
D0IR6U,T08391
D05MHL,T08391
D6N5UC,T62460
D0MS3Z,T71266
D01NEC,T71266
D0W3RW,T71266
D0X2JM,T71266
D03AVS,T71266
D07TWK,T71266
D0S9IE,T71266
D07MQF,T67619
D01ZAQ,T67619
D01ZAQ,T71266
D05APZ,T67619
D05APZ,T71266
D07DWF,T67619
D07DWF,T71266
D02QWY,T67619
D0L2WP,T67619
D0L2WP,T71266
D0L2WP,T94479
D06HYF,T67619
D06HYF,T71266
D06HYF,T94479
D0Y4LI,T94479
D0MH9X,T67619
D0F8HX,T67619
D09DGE,T67619
D0O1AV,T67619
D0I4TH,T67619
D0RZ1H,T67619
D0CM6T,T67619
D0OX1T,T67619
D09ICC,T58970
D0TO6S,T51282
D0TO6S,T58970
D0TO6S,T67619
D0TO6S,T12499
D01WAI,T58970
D0B9BU,T51282
D0B9BU,T58970
D0B9BU,T67619
D0B9BU,T12499
D0B9BU,T94479
D0O1YH,T51282
D0O1YH,T58970
D0O1YH,T67619
D0O1YH,T12499
D0O1YH,T94479
D0L8HO,T51282
D0L8HO,T58970
D0L8HO,T67619
D0L8HO,T12499
D0L8HO,T94479
D0N6ES,T51282
D0N6ES,T58970
D0N6ES,T67619
D0N6ES,T12499
D0N6ES,T94479
D0M5FF,T51282
D0M5FF,T58970
D0M5FF,T67619
D0M5FF,T12499
D0M5FF,T94479
D0TN3Q,T58970
D0N4WB,T94479
D0R6OM,T94479
D0I1FJ,T51282
D0I1FJ,T67619
D0I1FJ,T94479
D0G2VC,T51282
D0G2VC,T58970
D0G2VC,T94479
D08XVZ,T58970
D0E5IP,T59328
D0E5IP,T08391
D0E5IP,T62460
D0YK9D,T58970
D0YK9D,T76910
D08RZB,T31406
D08RZB,T12499
D08RZB,T85943
D08RZB,T17980
D00ATA,T67619
D0L5AB,T67619
D08HFW,T46781
D0Q7RE,T46781
D0ZG4G,T58970
D0Q1AC,T58970
D0C5AD,T58970
D0Q4IX,T58970
D01IED,T58970
D0N8TQ,T59328
D0N8TQ,T85943
D03MNN,T59328
D03MNN,T85943
D0A1YQ,T76910
D0S7ZZ,T76910
D02OGA,T76910
D0Y3KG,T76910
D0CR2E,T76910
D0J9YX,T76910
D06ZRL,T76910
D0RD9V,T76910
D02BIK,T76910
D08CWE,T76910
D0WX0K,T76910
D0P8RK,T76910
D00PWQ,T76910
D0A3MV,T76910
D0UZ7I,T76910
D06KNK,T76910
D07WXT,T76910
D5MF8Y,T76910
D01WAJ,T76910
D0NO7V,T76910
D0FV9Z,T76910
D0Z1DH,T76910
D0XR7S,T76910
D09PGW,T76910
D0C2GE,T80975
D0C2GE,T57700
D0C2GE,T59102
D0C2GE,T85943
D03ETN,T76910
D0I3RD,T23003
D0V0QJ,T23003
D01CNB,T23003
D09GHB,T23003
D0K0YC,T23003
D03SKL,T23003
D0P0HI,T23003
D04XVN,T23003
D0T5DP,T23003
D0C4LF,T23003
D0TY0P,T23003
D03CHM,T23003
D04WPA,T23003
D0M6BD,T23003
D0K3ES,T23003
D06EFW,T23003
D00STL,T38284
D0B5DX,T38284
D05YAD,T38284
D0Y4EU,T38284
D0E6EP,T38284
D0JY1I,T38284
D0KR7K,T38284
D0Z7DA,T38284
D0JR7X,T38284
D0B0BJ,T38284
D0L7XM,T38284
DL8T4I,T38284
D01OYY,T38284
D04ZXR,T38284
D0U2LO,T38284
D03EMY,T38284
D0BE9U,T38284
D01NIR,T38284
D0BJ6M,T38284
D0AP4V,T38284
D0O0YI,T38284
D0C9ZW,T38284
D0K3BR,T38284
D0OY0U,T38284
D04UXO,T38284
D0PF2F,T38284
D0BK6R,T38284
D02KNW,T38284
D09ZFM,T38284
D09WKF,T38284
D00AIO,T38284
D0QG6G,T38284
D00AII,T38284
D0AW4W,T38284
D0PI0R,T38284
D0H4YH,T38284
D0KL5M,T38284
