ttid , smile
D00BYM , CCC1C(=O)N(C2=CN=C(N=C2N1C(C)C)NC3=C(C=C(C=C3)C(=O)NC4CCC(CC4)N5CCN(CC5)CC6CC6)OC)C
D00BZS , CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C5=CC=CC=C5N=C4C3=C2)C=NOC(C)(C)C)O
D00CAF , C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C
D00CAO , C1CN(C(=O)C(=C1O)C(=O)NCC(=O)O)CC2=CC=C(C=C2)OC3=NC=C(C=C3)C(F)(F)F
D00CAU , CCCCCCOC1=CC=C(C=C1)C(=O)NC2CCC(C2)(C)C
D00CCI , CC(C1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)Cl)C(=O)O
D00CCV , CC1=CC(=CC=C1)N2CCN(CC2)CCCCCCN3CCN(CC3)C4=CC=CC(=C4)C
D00CDF , CC(=O)NC1=CC=C(C=C1)OCC(C)(C(=O)NC2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)O
D00CDM , CCCN1CCOC2C1COC3=C2C=C(C=C3)O
D00CEG , CC(C)(C)OC(=O)N1C(CC2=CC=CC=C21)C(=O)N3C(CC4=CC=CC=C43)C(=O)NC(CCCCNC(=O)OCC5=CC=CC=C5)C(=O)OC
D00CEN , CC(CCCCC12C(C(C(O1)(C(C(O2)C(=O)O)(C(=O)O)O)C(=O)O)OC(=O)CCC=CC(C)CCCC3=CC=CC=C3)O)CC4=CC=CC=C4
D00CEO , CC1=C(NC(=O)NC1=O)CCCO
D00CFB , C1CC(C1)(C(=O)[O-])C(=O)[O-].C(C(C[NH-])(CO)CO)[NH-].[Pt+4]
D00CGH , CC(CC#CC(C)(C)O)C1=CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
D00CGJ , CC(CC1=C(C=C(C=C1)Br)OC)N
D00CGU , CC(C)OS(=O)(=O)C
D00CHD , CCCCCCC(=O)NCCCCC=CCCCCCCC(=O)O
D00CIF , C1COCC(=O)N1C2=CC=C(C=C2)NC(=O)C3CC(CN3C(=O)NC4=CC=C(C=C4)Cl)O
