cid,isosmiles,canonicalsmiles
127029263,CC1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)NC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCOCC5,CC1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)NC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCOCC5
118716791,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCC(=O)N,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCC(=O)N
127028313,CC1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)NC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCN(CC5)C,CC1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)NC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCN(CC5)C
76071163,COC1=CC=C(C=C1)C(=O)NC2=NC=NC3=CC(=C(C=C32)OC)OCCCN4CCOCC4,COC1=CC=C(C=C1)C(=O)NC2=NC=NC3=CC(=C(C=C32)OC)OCCCN4CCOCC4
127028969,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CN=C3NC4=CC=C(C=C4)NC(=O)C5=CC=C(C=C5)OC)OC,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CN=C3NC4=CC=C(C=C4)NC(=O)C5=CC=C(C=C5)OC)OC
76071160,CCN(CC)CCCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OC,CCN(CC)CCCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OC
88912275,C[C@H]1C[C@@H]2[C@](CO2)([C@H]3[C@@]1(C(=O)[C@@H]([C@@H]4C([C@H](C[C@@]([C@@H]3OC(=O)C5=CC=CC=C5)(C4(C)C)O)OC(=O)[C@@H]([C@H](C6=CC=CC=C6)NC(=O)C7=CC=CC=C7)OC(=O)CCC(=O)C(C)(C)C)C)OC(=O)C)C)OC(=O)C,CC1CC2C(CO2)(C3C1(C(=O)C(C4C(C(CC(C3OC(=O)C5=CC=CC=C5)(C4(C)C)O)OC(=O)C(C(C6=CC=CC=C6)NC(=O)C7=CC=CC=C7)OC(=O)CCC(=O)C(C)(C)C)C)OC(=O)C)C)OC(=O)C
117590628,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@H]([C@@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)C)OC(=O)C,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)OC8C(C(C(CO8)O)O)O)C)OC(=O)C
163335573,CC1=C2[C@H](C(=O)[C@]3([C@@H](C[C@@H]4[C@]([C@@H]3[C@@H]([C@@](C2(C)C)(C[C@H]1OC(=O)[C@@H]([C@@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC
158353335,C/C=C(\C)/C(=O)N[C@@H](C1=CC=CC=C1)[C@H](C(=O)O[C@H]2C[C@]3(C(C4[C@@]([C@H](C[C@@H]5[C@]4(CO5)OC(=O)C)O)(C(=O)[C@@H](C(=C2C)C3(C)C)C)C)OC(=O)C6=CC=CC=C6)O)O,CC=C(C)C(=O)NC(C1=CC=CC=C1)C(C(=O)OC2CC3(C(C4C(C(CC5C4(CO5)OC(=O)C)O)(C(=O)C(C(=C2C)C3(C)C)C)C)OC(=O)C6=CC=CC=C6)O)O
54751089,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@](C3C([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=C(C=C(C=C7)F)F)(CO4)OC(=O)C8CC8)O)C)OC(=O)C,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=C(C=C(C=C7)F)F)(CO4)OC(=O)C8CC8)O)C)OC(=O)C
140887182,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=C(C=C5)[Si](C)(C)O)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=C(C=C5)[Si](C)(C)O)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
54525251,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C)OP)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)[O-],CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C)OP)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)[O-]
123748314,CC1[C@H](C[C@]2(C([C@H]3[C@@]([C@H](C[C@@H]4[C@]3(CO4)OC(=O)C)O)(C(=O)C(=O)C1C2(C)C)C)OC(=O)C5=CC=CC=C5)O)OC(=O)[C@@H]([C@H](C6=CC=CC=C6)NC(=O)OC(C)(C)C)O,CC1C(CC2(C(C3C(C(CC4C3(CO4)OC(=O)C)O)(C(=O)C(=O)C1C2(C)C)C)OC(=O)C5=CC=CC=C5)O)OC(=O)C(C(C6=CC=CC=C6)NC(=O)OC(C)(C)C)O
10843151,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC)O)C)OC(=O)C,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC)O)C)OC(=O)C
146157905,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(C(C1=CC=CC=C1)NC(=O)C2=CC=CC=C2)C(=O)OC3C[C@]4(C(C5[C@@](C(CC6[C@]5(CO6)OC(=O)C)O)(C(=O)C(C(=C3C)C4(C)C)OC(=O)C)C)OC(=O)C7=CC=CC=C7)O,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(C(C1=CC=CC=C1)NC(=O)C2=CC=CC=C2)C(=O)OC3CC4(C(C5C(C(CC6C5(CO6)OC(=O)C)O)(C(=O)C(C(=C3C)C4(C)C)OC(=O)C)C)OC(=O)C7=CC=CC=C7)O
21140782,CC[C@]12C=CCN3[C@H]1[C@@]4(CC3)[C@@H](C(C2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)C6(CCCCCC7=C6NC8=CC=CC=C78)C(=O)OC)OC)C,CCC12C=CCN3C1C4(CC3)C(C(C2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)C6(CCCCCC7=C6NC8=CC=CC=C78)C(=O)OC)OC)C
10395645,CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)[C@H]([C@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)C6(C[C@H]7CC8CCCCC8N(C7)CCC9=C6NC1=CC=CC=C91)C(=O)OC)OC)C,CCC12C=CCN3C1C4(CC3)C(C(C2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)C6(CC7CC8CCCCC8N(C7)CCC9=C6NC1=CC=CC=C91)C(=O)OC)OC)C
10866070,CC[C@@]1(C[C@@H]2C[C@](C3=C(CCC[N+](C2)(C1)CC4=CC=CC=C4)C5=CC=CC=C5N3)(C6=C(C=C7C(=C6)[C@]89CCN1[C@H]8[C@@](C=CC1)([C@H]([C@@]([C@@H]9N7C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,CCC1(CC2CC(C3=C(CCC[N+](C2)(C1)CC4=CC=CC=C4)C5=CC=CC=C5N3)(C6=C(C=C7C(=C6)C89CCN1C8C(C=CC1)(C(C(C9N7C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
101938480,CCC1=C[C@@H]2C[C@@](C3=C(CN(C2)C1)C4=C(N3)C=C(C=C4)O)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,CCC1=CC2CC(C3=C(CN(C2)C1)C4=C(N3)C=C(C=C4)O)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC
327791,CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)[C@H]([C@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)[C@]6(C7[C@H]8CC(O7)(CN(C8)CCC9=C6NC1=CC=CC=C91)CC)C(=O)OC)OC)C,CCC12CC3CN(C1)CCC4=C(C(C3O2)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)NC1=CC=CC=C41
