,Nilotinib,Venetoclax,Navitoclax,RO-3306,Ribociclib,Wee1 Inhibitor,BI-2536,AZD7762,MK-1775,Palbociclib,Vorinostat,Entinostat,JQ1,GSK269962A,Cisplatin,Temozolomide,Oxaliplatin,Gemcitabine,Irinotecan,Camptothecin,Afatinib,Lapatinib,Sapitinib,Erlotinib,Dabrafenib,SCH772984,Trametinib,KU-55933,NU7441,Olaparib,Linsitinib,BMS-754807,Doramapimod,Tozasertib,ZM447439,Paclitaxel,Vinorelbine,Docetaxel,Alisertib,5-Fluorouracil,Sorafenib,Ruxolitinib,Alpelisib,Pictilisib,MK-2206,AZD6482,AZD8055,Dactolisib,Taselisib,Uprosertib,PF-4708671,OSI-027,Luminespib,Bortezomib,AZD4547,SB505124,PD173074,Axitinib,Dasatinib,Crizotinib,Galunisertib,SB216763,LGK974,Nutlin-3a (-)
Vorinostat,-0.02620794501969656,0.011296620147273737,-0.005552598916562682,-0.06551104574666096,-0.028616676827997033,-0.03401390286707151,-0.09398391413037732,-0.150208802242506,-0.13634598462908504,-0.07615197747854455,1.0,0.738655414715131,0.18251046796355497,-0.016960352288725583,0.016031272053362456,0.1527403990221852,-0.025115128300682778,0.1285541515646553,-0.01189055065892107,-0.02123387308682687,-0.1076749312224993,-0.10718726880481884,-0.11890205381672767,-0.11665984509295549,-0.21049574313724356,-0.017310442532117484,-0.22651725491049512,-0.17972056755997745,-0.1946909412184646,0.12503933014088292,-0.20712685939658165,-0.17194130358472506,-0.002504562068794753,-0.0595017339305103,-0.028763779747863306,-0.13556462565083946,-0.09674593760339556,-0.1258164351212929,-0.03378054661345088,0.07180192694236194,0.023889220561866965,-0.15334833390511451,-0.24507090337325063,-0.04675371389050549,-0.07391101904253682,-0.05514879737839935,-0.16026768191906654,-0.1099759415626201,-0.11681299663687919,-0.11078726293812391,-0.13435405522913568,-0.14193587826796483,0.23836180874297402,0.10701377226405252,-0.15213631092530344,-0.09864154077669648,-0.22068805143873893,-0.16377835242114283,-0.019968093378871413,-0.1763957031313207,-0.09665061705182623,-0.12513492022600453,-0.017123196659177164,0.07476847497750232
Entinostat,-0.020707559311241804,0.11705914001943252,0.10558781101553769,-0.22233519874071425,-0.10335839160907764,-0.13397106852638763,-0.11631687418804076,-0.12610126123109128,-0.01049586354403018,-0.10910947660528053,0.738655414715131,1.0,0.2516263576753406,0.06822715434684962,-0.09545864782709844,0.13511693926715002,-0.12062532034049994,0.03626001061231308,-0.14927403487241822,-0.0372625272911549,-0.11062403154403272,-0.09783462223019684,-0.11203066166770248,-0.1134350937064795,-0.1661086341509227,-0.032117338240947264,-0.25534598946469517,-0.15738347687116624,-0.19616619061772722,0.1421110680046419,-0.019843651550614568,0.04168797500270595,0.07048163402415354,-0.04858753171624524,-0.002964325756614171,-0.19193767944837115,-0.15606342065949597,-0.19502754906850422,0.006086636241845071,-0.06653130422419064,0.09116607335768451,-0.125249630783115,-0.19304748847517,-0.1831326816027124,-0.0332143215034211,-0.18821122815545296,-0.10890769916309102,-0.11341486880347049,-0.2366296013490532,-0.041386744770743014,-0.1682961039847876,-0.12569992942640845,0.2644912960045928,0.07180500390804241,0.1007579219922014,0.0758876143625176,0.042279812820009685,-0.04899075338141234,-0.018444469961203865,0.05143227478922474,0.07827948097219734,-0.1739440352057629,0.03262503884850619,0.24831705136700657
JQ1,-0.10604985726828248,-0.055579441173366974,-0.06549551299524485,0.18470004032675602,0.11721299177043039,0.16161110663891776,0.31934266308695086,0.061837256662646826,0.05867392870682924,0.1059737365014199,0.18251046796355497,0.2516263576753406,1.0,-0.11348070857262951,0.09589473552644376,-0.0023041057252360907,0.036823275422008195,-0.10428402255850162,0.23065078052295518,0.28578518823005883,-0.0604019110692834,-0.040727960974456676,-0.056119442342466505,-0.05570466929189595,0.05359596538320849,-0.05539139354034007,0.19158352405835327,0.10228619077433068,0.16492437527274834,-0.060366739061634714,0.07587388203442127,0.07806035917972778,0.022579826636207653,-0.03188420799469506,-0.07023026807299362,0.04812796012150493,0.078472219968684,0.08472190095971031,-0.011408205238531283,0.17360028588241605,0.021736813453683525,0.0019156672268478697,-0.006373112949147011,-0.025221683600972686,-0.15367745480969092,-0.01596855987170325,-0.05774857682566462,-0.06942932917972222,0.00023407413177711778,-0.1560909286236313,0.022684351537386745,0.09076004235616839,0.20550279697563462,-0.15474070543976842,-0.0358720880715443,0.07187565910277674,-0.022272571650744803,-0.04580672539187371,-0.1399685157043109,0.027014802863063916,0.06990481716253702,0.15245025837464662,0.11727278126094402,0.46542734424724075
GSK269962A,0.0856012000924862,-0.09492889339554324,-0.09021632412389849,0.02113930579499215,-0.04427554103779988,0.10735236942859903,-0.15427407032137225,0.10365862804967571,-0.007937552085571512,0.021341774853858263,-0.016960352288725583,0.06822715434684962,-0.11348070857262951,1.0,-0.05380645102773662,-0.10744646364367816,0.042336320061000535,-0.05144336840294911,-0.0912264213206121,0.0852858026934139,0.03421459332360982,0.045415734237703474,0.04988271797310582,0.04080218368005454,0.42477766843111847,0.24634079856127333,-0.035080407752864876,0.0809703883936899,0.006526453364913795,-0.09307601750906189,-0.03763072321168,-0.05652861485226791,0.08667271519012093,0.24613808330015982,0.15139976013652523,-0.08441920542374837,-0.12505311631501684,-0.07506649153108053,0.15903395843003076,-0.07327270321291113,0.010798768556343138,0.07943651543331309,-0.039633119693460485,-0.13060652821046786,0.5707604265250861,-0.16736297796852517,0.2608411188947463,0.15526760347728036,-0.15508136103459788,0.7261910705071088,0.15218455871601,0.025882378269025334,-0.030012603674693196,0.15492365627769805,-0.003036349090574871,-0.036677172399118205,-0.026989323592264483,0.09781212739882969,0.18876293345855372,-0.14840523706264766,-0.03420482054697445,0.282427845180976,0.07124304020733299,-0.18388100195566168
Cisplatin,-0.19037825026066454,-0.1413929310663638,-0.14389702665044043,-0.11708584949311081,-0.09047118321228453,0.19297571655189208,-0.10437192748056079,-0.09914732317037046,-0.06151144726647179,-0.11719085733386181,0.016031272053362456,-0.09545864782709844,0.09589473552644376,-0.05380645102773662,1.0,0.46485747921008946,0.7696777816792653,0.42328303873933204,0.42923338756256996,0.22330346993753147,-0.19588462580610577,-0.19008782665084809,-0.18917269744937093,-0.1791273725539224,0.012741358015103864,-0.06948777668158108,0.0774662798458172,0.04791774048610581,0.11593253458386354,0.10449658877111792,-0.03506833407043897,-0.03194592165128999,-0.14118730197360646,-0.20252242613105512,-0.25444017410996367,0.16555369725784896,-0.05223331732577428,0.19929910693426492,-0.22829241836571101,0.7056645571010359,-0.13395369073101512,-0.08053123612773437,-0.04317965471239805,-0.12609128374092773,-0.042400436080940254,-0.1076714261409318,-0.055634792250131085,-0.056356357004826524,-0.15796084853646986,-0.020967871875719146,0.14578533890370135,0.0258720064587788,0.057557557700543244,0.45788764847176744,-0.16140191010810157,0.03380238045332609,-0.20718107508132283,-0.1509748813807124,-0.20160513016164688,-0.04211039355117701,0.03260237354193868,0.2673645976762723,-0.02454287729252258,-0.004830159385477078
Temozolomide,-0.08028891933736607,-0.09480161056881939,-0.09840503262649647,-0.13891924930786465,-0.20572969719861306,-0.060639048114461525,-0.1288328108134866,-0.13683396102015047,-0.0908374143974201,-0.21063762798974156,0.1527403990221852,0.13511693926715002,-0.0023041057252360907,-0.10744646364367816,0.46485747921008946,1.0,0.2676452400003747,0.6888428122474788,0.1788462197156317,0.06756571784187326,-0.16470961711354315,-0.16439506801878329,-0.16004106809468535,-0.15652420659037788,-0.004321555021083286,-0.18150037408203573,0.1608898149538245,0.043134667546260226,0.05582700934099349,0.6111328987230615,-0.031512053725118824,-0.02665946541238378,0.034040342837945374,-0.20675536969536706,-0.21161970239796352,0.008845786398658014,-0.08012700978093729,0.02685971212364391,-0.1871727133425986,0.45476328999697924,-0.022860973496552514,-0.012340829065437299,0.005830235716510014,0.14341318150017662,-0.06887806226767344,0.14141407368494693,-0.05616415367113502,-0.005573526749089341,0.12050874084562568,-0.08268041850431093,0.021792329706672876,-0.009627448945370043,-0.029306239321008707,0.1898879312122133,0.012707264990233318,0.17188916272363503,0.11049792524799074,-0.09963422133389507,-0.047610228334273454,0.02614140024617033,0.17219786599465622,0.05692577693025729,0.2264049015032666,0.08524443939342918
Oxaliplatin,-0.1969598462666005,0.0006279663558973365,-0.009195101775303086,-0.045731586381580376,-0.04841633223305605,0.258079835954272,-0.057550065486818805,-0.028001789225478843,-0.05727287756621778,-0.08048138904134863,-0.025115128300682778,-0.12062532034049994,0.036823275422008195,0.042336320061000535,0.7696777816792653,0.2676452400003747,0.9999999999999999,0.2841835303762034,0.15529450819367277,0.08779617162811329,-0.055431179783755335,-0.057170806407822364,-0.05183767378483554,-0.05028876604989883,-0.030915975725045286,0.06866676938652932,0.01077965670462313,0.14553442394143246,0.19328777468121092,-0.021638155677146515,-0.023714588449926775,-0.017715664441512426,-0.06458935933566468,-0.18999725483118476,-0.22540612577400831,0.0960553663986308,-0.12524725065214154,0.06722198207669838,-0.19593265562672108,0.397393798125128,-0.20079964281194995,-0.10121075233547469,-0.08443206040297843,-0.20599767904070584,0.03742690372688254,-0.19473802171993154,0.09088877037963107,0.034531003161864554,-0.2217425856120915,0.07994079933172951,-0.06160402317771309,-0.07517983825567673,0.1374497940600511,0.375837871626538,-0.08289873393333844,-0.025610535522811763,-0.1455195570642625,-0.13378078884667927,-0.23232006649568235,0.033032347362999155,-0.027567053004631897,0.21082223783806053,-0.11051315182595382,0.00932901186131889
Gemcitabine,-0.05261931741223465,-0.05477010369359563,-0.046167876105616366,-0.018778163552346766,-0.10455008562761306,0.0516653840694498,-0.1970776134353432,-0.063785713061842,0.030514747554522895,-0.0714724769392664,0.1285541515646553,0.03626001061231308,-0.10428402255850162,-0.05144336840294911,0.42328303873933204,0.6888428122474788,0.2841835303762034,1.0,0.3385592121297863,0.17902347623439685,-0.11539666734762215,-0.12688625550575794,-0.11892346873723214,-0.1210548539262159,0.034055950445960465,-0.1496859869921036,0.16108674499963105,-0.02080887898264984,-0.008396555712532519,0.360055814134518,0.026046233331972063,0.022576316131282435,-0.05742082667961484,-0.03784310753654159,-0.11668862617873946,0.08412558662146381,-0.002403456827964827,0.12493832884480885,-0.12325158381423236,0.5150224842556499,-0.049699484926653506,0.039175025417335946,-0.04976255531669434,0.04089268123408962,-0.042804103266135124,0.05198749516926425,-0.1064922395432982,-0.05978417545472725,0.015220754486583964,-0.059688339905094215,0.2520373229337109,0.10180585804828476,-0.03729607190593725,0.146287398618452,0.0843375040706914,0.05579549523844579,0.19427399681273386,0.06978389478218794,0.1478884952504712,-0.0033210307180601382,0.05605844496451875,0.1371793145116317,0.18230139144274615,-0.04798833912772817
Irinotecan,-0.1364397806982896,-0.005363202624366655,-0.0017294865878652761,0.27533485273072034,0.04980367151456656,0.480156909694505,-0.16772349620852423,0.13700616071174712,-0.031403014131110046,0.0743058917135668,-0.01189055065892107,-0.14927403487241822,0.23065078052295518,-0.0912264213206121,0.42923338756256996,0.1788462197156317,0.15529450819367277,0.3385592121297863,0.9999999999999999,0.8050174766202273,-0.21507778423999407,-0.21255356085328597,-0.22511282169335825,-0.21390112697148894,0.33635837741976204,-0.1908825636587485,0.4582460127677711,0.18304926884958606,0.25665445646106694,0.015347636366876048,0.035704717304714,-0.031639704116334794,-0.14439745480701108,0.03654124352024418,-0.12097390734771178,0.5818840228928035,0.43614535726750875,0.6704292105362694,-0.08031250054055779,0.8610839347308938,0.027029279287132293,-0.01649985435702869,0.1383351118181554,-0.09143832676150447,-0.13270026592241066,-0.09302017375180041,-0.03485521692807,0.03487532191193627,-0.08034391105304506,-0.11063892287231339,0.7350430601492706,0.3429716747880923,0.0956333619992352,0.33958709856089775,-0.25364091172690717,0.2085495962576323,-0.15480416863160135,0.1391319231349204,-0.06303080661455532,-0.12760971104244356,0.20568545055913567,0.6029876981139406,0.2829859735845743,0.2786032208229475
Camptothecin,-0.09114075544443181,0.10310522447384636,0.10861951496420147,0.4815892530552406,0.2825121155507835,0.6146898090644024,-0.08805725512231863,0.4153575215733346,0.02637807628176235,0.32960581009315254,-0.02123387308682687,-0.0372625272911549,0.28578518823005883,0.0852858026934139,0.22330346993753147,0.06756571784187326,0.08779617162811329,0.17902347623439685,0.8050174766202273,1.0,-0.12449931535368322,-0.12470494262758447,-0.13593900916168034,-0.13494535733322868,0.49130279559813106,-0.010061860487252518,0.5546375670994562,0.34801342906066757,0.38948374704004374,0.012192760026153236,0.10698324771761027,0.027271000196751258,-0.07637757842206797,0.2265328193328748,0.03597557956793558,0.5987551272078854,0.1599139974448903,0.6690902205639557,0.08870429610118243,0.6954893272366895,0.12824264144447686,0.04901757838872688,0.14514088546110304,-0.13948773299008477,-0.12936977312729261,-0.15397838191068108,0.053634708949196946,0.1317903350802532,-0.13820625183576907,-0.08696428332186151,0.7163444780764574,0.40548899813523104,0.36835252286940284,0.21097417491627848,-0.16355151833024575,0.3016815600098086,-0.10644041618444558,0.35637807953201117,0.0003551105516705344,-0.07798373224985393,0.2975359485635486,0.6742630531266023,0.3181697953393434,0.27324316138203686
