cid,isosmiles,canonicalsmiles
92044531,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C(=CC=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C(=CC=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC
154688564,CC.CC(=O)C1=C(C=C(C=C1)NC2=NC=C3CN=C(C4=C(C3=N2)C=CC(=C4)Cl)C5=C(C=CC=C5F)OC)OC,CC.CC(=O)C1=C(C=C(C=C1)NC2=NC=C3CN=C(C4=C(C3=N2)C=CC(=C4)Cl)C5=C(C=CC=C5F)OC)OC
159549410,C.COC1=C(C=C(C=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC=C(C=C5)C(=O)O,C.COC1=C(C=C(C=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC=C(C=C5)C(=O)O
89997715,COC1=C(C=CC(=C1)NC2=NC=C3CN=C(C4=C(C3=N2)C=CC(=C4)Cl)C5=CC=CC=C5OCF)C(=O)O,COC1=C(C=CC(=C1)NC2=NC=C3CN=C(C4=C(C3=N2)C=CC(=C4)Cl)C5=CC=CC=C5OCF)C(=O)O
91971806,[2H]C([2H])([2H])OC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC([2H])([2H])[2H],COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC
165412032,COC1=C(C(=CC=C1)F)C2=NC(C3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC)O,COC1=C(C(=CC=C1)F)C2=NC(C3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC)O
68270201,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)OC)OC,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)OC)OC
143679092,C1C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)C(=N1)C4=C(C=CC=C4F)O)NC5=CC(=C(C=C5)C(=O)O)O,C1C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)C(=N1)C4=C(C=CC=C4F)O)NC5=CC(=C(C=C5)C(=O)O)O
136013912,COC1=C(C=CC(=C1)NC2=NC=C3CN=C(C4=C(C3=N2)C=CC(=C4)Cl)C5=C(C=CC=C5F)O)C(=O)O,COC1=C(C=CC(=C1)NC2=NC=C3CN=C(C4=C(C3=N2)C=CC(=C4)Cl)C5=C(C=CC=C5F)O)C(=O)O
24771867,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC
158270332,C1=C(C(=O)NC(=O)N1)F.N,C1=C(C(=O)NC(=O)N1)F.N
12666832,C1=C(C(=O)NC(=O)N1)[At],C1=C(C(=O)NC(=O)N1)[At]
141314313,C1=C(C(=O)NC(=O)N1)F.FF,C1=C(C(=O)NC(=O)N1)F.FF
23703374,C1=C(C(=O)[N-]C(=O)N1)F.[Na+],C1=C(C(=O)[N-]C(=O)N1)F.[Na+]
141025404,[2H]N1C(=O)C(=CNC1=O)F,C1=C(C(=O)NC(=O)N1)F
88180257,C1=C(C(=O)NC(=O)N1)F.[Pt],C1=C(C(=O)NC(=O)N1)F.[Pt]
129780721,C1=C(C(=O)N(C(=O)N1)Br)F,C1=C(C(=O)N(C(=O)N1)Br)F
16213520,C1=C(C(=O)[15NH]C(=O)[15NH]1)F,C1=C(C(=O)NC(=O)N1)F
163541659,C1=C(C(=O)NC(=O)[NH+]1[O-])F,C1=C(C(=O)NC(=O)[NH+]1[O-])F
158087571,C1=C(C(=O)NC(=O)N1)F.[Pb],C1=C(C(=O)NC(=O)N1)F.[Pb]
